id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,10960,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19676762.0,19676762.0,False,,1,,,,2024-04-08T11:02:00.000Z,72287.12999539202,30519658307.765156,53.6815,0.09265808,4.2021283,3.85333173,5.65490872,61.40033474,55.48940586,1422376652582.39,52.7832,1518029729903.23,,2024-04-08T11:02:00.000Z,,,,,,2024-04-08 13:02:51.028455
1027,Ethereum,ETH,ethereum,8744,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120070542.58459328,120070542.58459328,True,,2,,,,2024-04-08T11:01:00.000Z,3618.474956181369,14647760654.252296,62.4223,-0.00438577,6.62918953,1.97021734,-7.64355783,49.4077931,57.7416551,434472251317.4594,16.1171,434472251317.46,,2024-04-08T11:01:00.000Z,,,,,,2024-04-08 13:02:51.028455
825,Tether USDt,USDT,tether,81711,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,106901267934.99915,110942615136.6704,True,,3,,,,2024-04-08T11:01:00.000Z,0.9998088566861745,58197625944.68982,40.2903,-0.01280613,-0.04261186,-0.07591307,-0.22415962,0.02290451,-0.0807321,106880834472.3939,3.9648,110921409197.57,,2024-04-08T11:01:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-04-08 13:02:51.028455
1839,BNB,BNB,bnb,2133,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149534951.0921393,149534951.0921393,False,,4,,,,2024-04-08T11:01:00.000Z,598.5838597588249,1670024967.0062213,27.0359,-0.35745224,1.75683067,2.40381566,22.51034827,89.21375132,96.9418531,89509208193.57986,3.3204,89509208193.58,,2024-04-08T11:01:00.000Z,,,,,,2024-04-08 13:02:51.028455
5426,Solana,SOL,solana,649,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,445574676.9282537,573503638.080659,True,,5,,,,2024-04-08T11:01:00.000Z,183.27068043484502,2490433965.5425463,26.3995,0.04630632,1.54356769,-6.76409088,24.50986033,79.95787713,82.21989843,81660774225.17729,3.0293,105106401982.9,,2024-04-08T11:01:00.000Z,,,,,,2024-04-08 13:02:51.028455
52,XRP,XRP,xrp,1287,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55051549471.0,99987715632.0,False,,6,,,,2024-04-08T11:02:00.000Z,0.6080483781008239,1507796568.4965563,80.0484,0.03956127,1.80465408,-0.57204396,-2.38926761,18.15630073,7.20642222,33474005367.77882,1.2424,60804837810.08,,2024-04-08T11:02:00.000Z,,,,,,2024-04-08 13:02:51.028455
3408,USDC,USDC,usd-coin,18006,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,32844918478.36245,32844918478.36245,False,,7,,,,2024-04-08T11:01:00.000Z,0.999973634343724,6587820103.843736,59.2066,-0.02923034,0.00505264,-0.0210792,0.01767265,0.00698962,-0.01487041,32844052500.531437,1.2184,32844052500.53,,2024-04-08T11:01:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-04-08 13:02:51.028455
74,Dogecoin,DOGE,dogecoin,947,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143799676383.70526,143799676383.70526,True,,8,,,,2024-04-08T11:02:00.000Z,0.20753523486093878,2474475611.8460526,17.5829,0.60758874,5.35880263,0.56920871,25.02814474,159.24817965,163.66637003,29843499611.21926,1.1075,29843499611.22,,2024-04-08T11:02:00.000Z,,,,,,2024-04-08 13:02:51.028455
2010,Cardano,ADA,cardano,1126,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35602720555.912,36771024607.588,False,,9,,,,2024-04-08T11:01:00.000Z,0.6091371216149635,403726627.2779884,55.781,0.16490894,2.88433734,-3.55420092,-16.50382038,13.95071161,16.51424684,21686938721.09013,0.8045,27411170472.67,,2024-04-08T11:01:00.000Z,,,,,,2024-04-08 13:02:51.028455
11419,Toncoin,TON,toncoin,264,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3470639852.7342553,5105067881.355907,True,,10,3414166606.0,20113458433.889725,,2024-04-08T11:01:00.000Z,5.891176604721827,197111204.7177819,30.8878,2.54321706,8.50910682,10.58281249,105.19751659,185.44490705,162.92741251,20446152303.84325,0.7587,30074856468.16,,2024-04-08T11:01:00.000Z,,,,,,2024-04-08 13:02:51.028455
